#  RA_x                DEC_x         flux_F         flux_S         flux_H             HR
                                                                                                                                                                                     
  1.498775199646E+002  2.338685776700E+000  3.710000E-015  7.670000E-016  4.100000E-015 -2.000000E-002
  1.499155199747E+002  2.303892381600E+000  3.530000E-015  8.690000E-016  3.250000E-015 -2.000000E-001
  1.499624199955E+002  2.320597406000E+000  1.880000E-015  6.590000E-016 -3.400000E-015 -4.100000E-001
  1.500106900103E+002  2.333000909600E+000  2.980000E-015  4.240000E-016  4.100000E-015  1.600000E-001
  1.500224700081E+002  2.409404325100E+000  3.690000E-015  7.860000E-016 -1.200000E-014 -1.300000E-001
  1.500671099921E+002  2.372429421800E+000  4.910000E-015  1.220000E-015  3.800000E-015 -2.500000E-001
  1.498817199811E+002  2.367953479700E+000  1.770000E-015  2.950000E-016 -1.140000E-014 -3.000000E-002
  1.501917400090E+002  2.543933296250E+000  9.900000E-015  2.650000E-015  6.920000E-015 -2.500000E-001
  1.499535099612E+002  2.383134397100E+000  1.950000E-015 -5.810000E-016  3.560000E-015 -9.900000E+001
  1.498237499752E+002  2.385445429800E+000  6.110000E-015  1.360000E-015  4.740000E-015 -1.800000E-001
  1.499913499785E+002  2.260013109900E+000  3.960000E-015  1.250000E-015  2.340000E-015 -4.800000E-001
  1.500007499728E+002  2.251357611900E+000  2.480000E-015  3.230000E-016  3.400000E-015  1.800000E-001
  1.500368100176E+002  2.358530327500E+000  6.590000E-015  3.890000E-016  1.090000E-014  6.000000E-001
  1.504547044440E+002  1.857055548690E+000  4.430000E-015  1.570000E-015  2.120000E-015 -5.900000E-001
  1.500645699600E+002  2.329033616900E+000  6.860000E-015  1.310000E-015  5.110000E-015 -1.500000E-001
  1.500201299663E+002  2.353847010600E+000  2.370000E-015 -7.420000E-016  4.200000E-015  7.700000E-001
  1.500295899687E+002  2.323813882200E+000  1.930000E-015  3.020000E-016  2.390000E-015  1.000000E-002
  1.500480199628E+002  2.373724202200E+000  3.770000E-015  1.180000E-015  1.760000E-015 -5.800000E-001
  1.500759199799E+002  2.264374992800E+000  3.120000E-015  4.030000E-016  4.010000E-015  2.000000E-001
  1.501956114440E+002  2.511579161530E+000  4.980000E-015  9.590000E-016  2.390000E-015 -1.700000E-001
  1.500802399635E+002  2.266017393900E+000  3.820000E-015  6.270000E-016  5.840000E-015  2.300000E-001
